ID,SalePrice
1461,208544.701801802
1462,178891.302312139
1463,216332.789649123
1464,188664.534074074
1465,302454.701559454
1466,148976.663776493
1467,286220.401449275
1468,222392.586491228
1469,148718.403014184
1470,128727.035974499
1471,131507.905643739
1472,372908.540942029
1473,130862.501996008
1474,222255.650641026
1475,151083.579360967
1476,134910.111403509
1477,145831.412566845
1478,117571.198816029
1479,152508.308375635
1480,137030.217916667
1481,321376.495618556
1482,135297.234485816
1483,235156.806920078
1484,138680.409792844
1485,141257.79929078
1486,282485.582719298
1487,128660.511676083
1488,301471.772442244
1489,162782.644265233
1490,80463.5719999997
1491,106538.440851449
1492,139589.780295139
1493,212764.765028902
1494,166367.286427146
1495,287869.496153846
1496,312243.262228261
1497,150458.572625698
1498,149511.995399306
1499,136189.119148936
1500,100270.861111111
1501,152641.089359699
1502,168309.278131021
1503,141055.451582868
1504,128661.727746741
1505,138770.233079526
1506,285426.112739965
1507,240722.440619308
1508,247255.779057592
1509,116672.15707635
1510,128892.267287234
1511,178847.587563452
1512,126161.290780142
1513,109096.990437158
1514,341408.210934744
1515,140308.881333333
1516,162160.303630363
1517,205928.194935543
1518,198310.576072607
1519,392694.55062893
1520,126997.405325444
1521,161464.921111111
1522,99090.4770408161
1523,213377.882190476
1524,152828.883514493
1525,235132.095856874
1526,303225.982621951
1527,236304.630540037
1528,210617.192714026
1529,100171.785341365
1530,236256.64057971
1531,231128.988288288
1532,125307.64845173
1533,187955.551428571
1534,145171.734148551
1535,130329.458563536
1536,96102.4186274507
1537,118285.723315118
1538,121284.685737977
1539,132041.61440536
1540,114545.795390071
1541,189548.616039427
1542,172810.983420139
1543,235750.751893939
1544,133380.826955782
1545,173288.513888889
1546,279629.775460636
1547,180640.404710145
1548,170513.143571429
1549,114479.59938918
1550,126152.71194605
1551,101050.021029668
1552,142864.914455782
1553,139319.107103825
1554,173701.443663194
1555,209475.371553229
1556,177242.79921466
1557,223658.378125
1558,125009.194315992
1559,93684.3658645273
1560,126128.241385768
1561,201733.123563218
1562,182998.745430108
1563,131215.093707483
1564,211184.880612245
1565,159227.94502924
1566,258306.136322464
1567,97835.0568062824
1568,107822.533514493
1569,125937.210083333
1570,209158.147135417
1571,143030.571604938
1572,174189.580363036
1573,284148.195421245
1574,227941.10070922
1575,208412.695716946
1576,169377.16597582
1577,138514.519047619
1578,140896.143850267
1579,281826.087704918
1580,173788.301267057
1581,167816.634567901
1582,103533.618342644
1583,140905.093806922
1584,176507.560818713
1585,180622.94811828
1586,89088.5646520143
1587,135496.943469786
1588,100993.902702702
1589,146542.974702381
1590,145355.009469697
1591,204194.058199644
1592,208593.171252205
1593,146770.316508689
1594,217936.880583333
1595,162074.835714286
1596,180926.370856611
1597,154701.569477912
1598,207912.486778399
1599,255565.375
1600,202278.827747748
1601,108193.458286252
1602,241946.266849817
1603,133556.761554192
1604,209311.494693201
1605,151101.286263736
1606,142313.213963964
1607,104753.269475655
1608,220724.419312169
1609,152458.650465549
1610,112567.118343195
1611,137581.37689394
1612,336622.993399339
1613,197238.823508772
1614,180338.025146199
1615,123974.386048689
1616,88924.8621129323
1617,106996.288342441
1618,279918.221129326
1619,237062.341181658
1620,258086.168481848
1621,171313.212015504
1622,361279.207142857
1623,235308.257803468
1624,100186.955421687
1625,139207.222859745
1626,111778.53670412
1627,203421.897747748
1628,335329.612777777
1629,197843.788194444
1630,253118.068556701
1631,128761.946388889
1632,176847.405882353
1633,196646.779717813
1634,158362.673913044
1635,213508.486128364
1636,197125.720654397
1637,221398.98967803
1638,178892.012943262
1639,412344.392333333
1640,120991.038010204
1641,172614.866036036
1642,178469.240185185
1643,127526.404609929
1644,190399.191012216
1645,123321.890083333
1646,337105.597874149
1647,175091.175791434
1648,127656.817771639
1649,154473.957105263
1650,267118.189086294
1651,269318.291615542
1652,163988.789230769
1653,196247.619444444
1654,141344.232078853
1655,125503.863279857
1656,149712.487869823
1657,279528.183791209
1658,290850.706537753
1659,133444.969244936
1660,307530.193539326
1661,145550.788082437
1662,159406.13670412
1663,118590.170695971
1664,144664.977124183
1665,113872.601891892
1666,181424.2977842
1667,155594.284231537
1668,138596.969491525
1669,239063.11875
1670,151416.940017361
1671,94090.5814814812
1672,163582.648907104
1673,221884.698655914
1674,144178.693007663
1675,157263.48655914
1676,148225.660622711
1677,206163.866860465
1678,104995.061111111
1679,213427.439065256
1680,176661.922132617
1681,216816.651595745
1682,223599.102617801
1683,177817.486190476
1684,123974.941620626
1685,435089.251822916
1686,109874.278516378
1687,292481.350694444
